Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2
1,1,,Boston Celtics,BOS,47,28,62.7,0.0,0.0,30 - 16,9 - 6,26 - 12,21 - 16,9-1,Ganado 6,110.7,103.9,6.8
2,1,,se - Miami Heat,se - MIA,47,28,62.7,0.0,0.0,30 - 16,11 - 2,26 - 12,21 - 16,4-6,Perdido 4,109.1,105.2,3.9
3,1,,Milwaukee Bucks,MIL,46,28,62.2,0.5,0.0,28 - 18,10 - 3,26 - 12,20 - 16,7-3,Perdido 1,114.9,111.2,3.7
4,2,,Philadelphia 76ers,PHI,46,28,62.2,0.5,0.5,27 - 17,6 - 9,21 - 16,25 - 12,6-4,Perdido 1,108.8,106.6,2.2
5,2,,Chicago Bulls,CHI,43,31,58.1,3.5,3.0,28 - 18,10 - 5,26 - 10,17 - 21,4-6,Ganado 1,111.6,111.2,0.4
6,3,,Toronto Raptors,TOR,42,32,56.8,4.5,4.5,26 - 20,8 - 5,19 - 16,23 - 16,8-2,Ganado 2,109.1,107.1,2.0
7,3,,Cleveland Cavaliers,CLE,41,33,55.4,5.5,5.0,24 - 21,9 - 6,23 - 14,18 - 19,4-6,Perdido 3,107.2,104.7,2.5
8,2,,Charlotte Hornets,CHA,39,36,52.0,8.0,8.0,23 - 23,6 - 7,20 - 18,19 - 18,7-3,Ganado 2,114.8,114.4,0.4
9,4,,Brooklyn Nets,BKN,39,36,52.0,8.0,8.0,27 - 19,9 - 6,16 - 20,23 - 16,7-3,Perdido 1,112.2,111.9,0.3
10,3,,Atlanta Hawks,ATL,37,37,50.0,9.5,9.5,22 - 24,8 - 6,24 - 14,13 - 23,6-4,Ganado 1,112.9,112.2,0.7
11,5,,New York Knicks,NYK,33,42,44.0,14.0,14.0,18 - 27,4 - 10,15 - 21,18 - 21,6-4,Ganado 3,106.3,106.8,-0.5
12,4,,Washington Wizards,WAS,32,42,43.2,14.5,14.5,23 - 23,6 - 7,19 - 18,13 - 24,3-7,Ganado 2,108.3,111.5,-3.2
13,4,,o - Indiana Pacers,o - IND,25,50,33.3,22.0,21.5,11 - 35,2 - 13,16 - 21,9 - 29,3-7,Perdido 3,110.5,113.6,-3.1
14,5,,o - Detroit Pistons,o - DET,20,55,26.7,27.0,26.5,16 - 31,5 - 9,12 - 26,8 - 29,2-8,Perdido 2,104.3,112.1,-7.8
15,5,,o - Orlando Magic,o - ORL,20,55,26.7,27.0,27.0,10 - 35,2 - 11,10 - 27,10 - 28,4-6,Perdido 2,104.2,111.9,-7.7
