Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2
1,1,,se - Miami Heat,se - MIA,50,28,64.1,0.0,0.0,32 - 16,11 - 2,27 - 12,23 - 16,5-5,Ganado 3,109.5,105.1,4.4
2,1,,x - Milwaukee Bucks,x - MIL,48,29,62.3,1.5,0.0,30 - 18,10 - 3,26 - 13,22 - 16,6-4,Perdido 1,115.0,111.9,3.1
3,1,,x - Boston Celtics,x - BOS,48,30,61.5,2.0,0.0,31 - 18,9 - 7,27 - 13,21 - 17,7-3,Ganado 1,110.8,104.3,6.5
4,2,,Philadelphia 76ers,PHI,47,30,61.0,2.5,0.5,28 - 19,6 - 9,22 - 17,25 - 13,6-4,Ganado 1,109.2,106.8,2.4
5,3,,Toronto Raptors,TOR,45,32,58.4,4.5,2.5,28 - 20,9 - 5,21 - 16,24 - 16,8-2,Ganado 5,109.3,106.8,2.5
6,2,,Chicago Bulls,CHI,45,33,57.7,5.0,3.5,29 - 20,10 - 5,27 - 11,18 - 22,4-6,Perdido 1,111.7,111.4,0.3
7,3,,Cleveland Cavaliers,CLE,43,35,55.1,7.0,5.5,26 - 22,9 - 6,24 - 15,19 - 20,4-6,Ganado 1,107.4,105.1,2.3
8,2,,Atlanta Hawks,ATL,41,37,52.6,9.0,9.0,25 - 24,8 - 6,26 - 14,15 - 23,7-3,Ganado 5,113.8,112.4,1.4
9,3,,Charlotte Hornets,CHA,40,38,51.3,10.0,10.0,24 - 24,6 - 7,20 - 19,20 - 19,7-3,Perdido 1,114.8,114.8,0.0
10,4,,Brooklyn Nets,BKN,40,38,51.3,10.0,8.0,28 - 21,9 - 6,17 - 21,23 - 17,5-5,Perdido 2,112.5,112.3,0.2
11,4,,o - Washington Wizards,o - WAS,34,43,44.2,15.5,15.5,24 - 24,7 - 7,21 - 19,13 - 24,5-5,Ganado 2,108.7,111.3,-2.6
12,5,,o - New York Knicks,o - NYK,34,44,43.6,16.0,14.0,19 - 29,4 - 10,16 - 23,18 - 21,6-4,Perdido 2,106.4,107.1,-0.7
13,4,,o - Indiana Pacers,o - IND,25,53,32.1,25.0,23.5,11 - 37,2 - 13,16 - 23,9 - 30,2-8,Perdido 6,111.0,114.2,-3.2
14,5,,o - Detroit Pistons,o - DET,22,56,28.2,28.0,26.5,17 - 32,5 - 9,13 - 26,9 - 30,4-6,Ganado 2,104.6,111.9,-7.3
15,5,,o - Orlando Magic,o - ORL,20,58,25.6,30.0,30.0,10 - 38,2 - 12,10 - 28,10 - 30,2-8,Perdido 5,104.0,111.9,-7.9
